Risposta numero,(AG) Definizione del concetto ASTRATTO e GENERICO,(AS) Definizione del concetto ASTRATTO e SPECIFICO,(CG) Definizione del concetto CONCRETO e GENERICO,(CS) Definizione del concetto CONCRETO e SPECIFICO,(CM) Definizione del concetto misterioso (complesso)
1,"art composed of melodious sounds produced by various instruments, it can have different genres and also contain a vocal part","Philosophical thought aimed at explaining ideal human behavior, attempting to demonstrate what is right and what is wrong. It often depends on the historical period and sociocultural context.","a plant with roots, trunk, branches and foliage used to obtain timber and produce paper","kitchen tool used to infuse tea leaves in boiling water, usually made of ceramic",A feeling of discomfort generated by embarrassing statements or behaviors. The term was coined on the Internet by the millennial community
2,A set of sounds made simultaneously by people and/or musical instruments.,Branch of philosophy that focuses on defining correct and incorrect human behavior.,"Plant, with different types and generic size, having leaves, branches, roots.",Metal container usually used for heating general liquids.,Abstract mental content and result of mental thinking activity.
3,"The group of every possibile musical notes combination, existing and not. Those combination can be both perceived with auditory system and visual system.",Common sentiment according with every human being should act to improve his and others quality of life,High and solid Kind of plant composed by a trunk covered in bark and a foliage Made by leaf. It has roots that keep it anchored to the ground,Small container for liquids used to pour hot beverages in mugs and cups. It is usually used to let decant and infuse leaves of tea.,Interactive product of the human intellect and creativity. Storydriven way of entertainment in which you take the control of the story with the use of an external device like a gamepad or a joystick.
4,Sound created by one or more musical instruments,philosophy or science that concern behaviors that are considered morally correct,"Living being that lives in the ground and is characterized by a trunk, branches, leaves and sometimes flowers or fruits",Tool used to make tea,Feeling of discomfort during which one would like to be different from how one is
5,"a mixture of sounds, that can be made of  instrumental and lyrics. An instrumental sound can be composed by standard  instruments such as guitars, drums, keyboards, piano or even by orchestral ones such as violoncello or violin; it  may or may not include some lyrics, that can be sung by a single person or multiple people or can even be represented as a speech.","philosophy’s branch that studies every behaviour. In particular, it distinguishes itself from politics and law, because it concentrates on action’s sphere and whether they’re good or bad and not already of the legally permitted or prohibited ones or of the more politically appropriate ones.","plant made by a tunk, branches and leaves",recipient which has a pot-bellied shape with a handle beak and lid and contains tea on the inside,Unknown
6,An organizations of sounds that can be made through specific instruments and/or human voices.,The philosophy that studies what are the right behaviours within human society,"A living organism that is rooted in the ground through roots, usually formed by a log, branches and leaves. These organisms gain their nutriment through photosynthesis. Some of these organism can give fruits.","A container that can be used to store liquid tea and is usually used to pour tea into teacups. ",Unknown
7,sequence of sounds with the aim of triggering emotions in the human being,branch of philosophy that aims to ask whether certain behaviors are right or wrong,woody plant with branches and leaves,"container, often made of ceramic, which is intended to contain tea during serving and infusion","engineering system that has the purpose of capturing, purifying, transporting and distributing water"
8,Sequence of sounds capable of arousing emotions in the listener,Moral principles learned by the society to which one belongs that define right and wrong,"Type of plant composed of roots, trunk, branches and leaves.","Container, normally made of ceramic, used to heat water and prepare tea. Also used for table setting.",Typical Japanese dish consisting mainly of rice and raw fish. Ability to add various toppings
9,Set of sounds and harmonies that are heard,Set of conventionally shared unwritten rules,"Organic component born from a seed, composed of roots, trunk, leaves and branches",Container useful for holding and pouring tee,Object used to improve vision through the use of graduated lenses
10,Sounds and noises produced through instruments following a rhythm to generate a composition.,A set of moral rules that a person follows.,"A plant consisting of a trunk and branches, of varying height, often producing fruit.",An instrument used to infuse herbs and spices to make tea.,"A black substance produced from organic remains, flammable, and extractable from the subsoil. It sustains humanity on an energy level."
11,A sound made using instruments thats usually considered beautiful and relaxing,"This field of philosophy is a large research topic, this field deals with many world problems theoretically and trys to solve, centuries long, problems on what can be considered right or wrong.","A usually thick and tall (depending on the region) woody type of plant, this plant is mostly covered in bark and fetures a bit ammount of roots and branches and leaves on the bottom and the top respectively. The age of a tree us the number of circles in the log","This type of kitchen tool is used to store, usually, really hot water with different kinds of dried leaves waiting to be poured in a countainer, it has an handle and a hole that help to pour the water",This job is considered really important to the progression of the world and helps the make society progress
12,"A set of rhythmic sounds often produced by percussion or string instruments, or created through their digital manipulation, often accompanied by one or more singers.",Human morality that varies according to specific contexts.,Plant with a woody trunk and leaves,"Container, usually made of ceramic or glass, used for serving tea or other infusions.",A series of smartphones designed and developed by Google at both the software and hardware levels.
13,Composition of sounds that form a melody,Set of values and behaviours that regulates human behaviour,"Organism covered in bark, leaves that cover the branches and at the base it has roots situated under the dirt",Object used for serving tea,A strong negative feelin or emotion towards another person that wronged you
14,combination of sounds audible to humans,combination of written and non-written rules on which human interaction is based,"plant with roots, branches, trunk and leaves","tool used to prepare and hold tea, it is also used as home furnishings.","virtual or physical content that has the purpose of promoting goods, ideals or services"
15,Set of sounds produced and arranged in a certain way to form a melody,Discipline that studies rules of behavior that respect morality and common sense,Complex terrestrial plant characterized by a woody trunk and apical branches on which leaves grow,Ceramic or metal container used to hold or heat water for making tea,"A piece of furniture featuring a comfortable, padded seat used for relax. It usually has two or more seats"
16,"Pleasant concept where sounds go in harmony, brings together notes, time and metrics",The morals of people who define right behavior,"Plant composed of leaves, branches and bark, in which the sap flows inside it","Container for liquids, usually tea, used to pour it into cups","pathological addiction, there are dedicated places generally prohibited to minors under 18 years of age."
17,"Sequence of sounds, eventually tuned, reproduced for artistic or entertainment purpose",Set of moral values adopted by the social context we live in,"Plant serveral years old, composed by a wooden log that usually splits into several branches. Depending on the season it might display flowers or leaves depending on the season","Small jug provided with lid, usually made of clay or metal, used to infuse the leaves before pouring the liquid into the cups.",Small iron bar equipped with a hand grip and a flat or cross shaped tip used to tighten the screws
18,"Set of sounds having a rhythm, used to dance or just listen. Generally done using instruments.",Concept regarding base codes of conduct that humans should follow in relation to the world that surround them.,"Woody plant covered with cortex. Has  branches, roots and leaves, it does the photosynthesis.","Container of various sizes to store liquids, generally used to make tea and other infusions.",Tool used to unstuck tubes or pipes using a suction cup.
19,"It's a sound produced by musical instruments, often accompanied by the voice.",It is a philosophical subject that studies human behavior in certain contexts to understand what is right and what is wrong.,"It is a plant that extends in height, with a woody trunk at the base, at the top it estende with branches which in turn are composed of leaves.","It's a container for making tea or herbal teas, slightly rounded in shape, with a handle, a lid, and an elongated spout.","accessory for holding and gathering hair, often made of plastic with a spring in the center"
20,"Art that has no visual or tactile representation but seeks to express concepts through harmonies, allowing the listener to form their own mental or emotional associations.",A branch of philosophy that seeks to study human morality and the methods or criteria of judgement.,"Understood as a living thing that sustains life by producing oxygen. It consists of a large vertical trunk rising from the ground, with roots at the base and a dense canopy of branches and leaves at the top. ","A container of various shapes and materials, but featuring a spout, a handle and a lid. It is used to brew tea leaves or other ingredients.","A key hormone that triggers a fight-or-flight response, preparing the body to react swiftly to the situation."
21,A musical content is composed of a soundtrack and/or lyrics.,includes moral principles that must be respected when making choices.,a woody plant capable of growing in height and is made up of branches and leaves.,A teapot is a container used mainly for infusions or herbal teas.,Point of interaction with a more or less complex hardware system.
22,"a succession of sounds, called musical notes, which, when heard in sequence, cause pleasure to the human ear. It is often divided into genres like rap, trap, reagetton, techno...","branch of philosophy that studies human behavior, and in particular analyzes what is right or wrong, and what collective behaviors lead to good or evil.",a type of plant that generally have radix and branches with leaves.,"a type of container with a lid, which is usually needed to serve tea or herbal tea.","A car that generally has higher performance than classic road cars, in addition to being much more expensive. It is capable of reaching higher speeds than normal, and is often used as a starting point for professional racing competitions."
23,An arrangement of artificial sounds that conveys feelings,A philosophy that humans pursue to behave in the most correct way based on the situation,A type of plant that grows high and is made of hard wood and can present leaves and flowers.,A container used to boil water in order to make and pour tea.,A machine used in agricolture that reaps and threshes cereals in a field
24,Sounds that can be made by people or objects and are considered pleasant,Branch of philosophy that studies human behavior by trying to define what is right and what is wrong.,"Plant of generic dimensions, composed of branches, roots and leaves",Container usually used for containing and serving tea,"The seasonal movement of livestock, typically moving them between lowlands and highlands during summer and winter"
25,Aggregation of sounds,Moral behavior aimed at the pursuit of actions considered 'right' in specific contexts.,"A woody structure of varying height, with a more or less robust trunk and leaves at the ends of the branches.","An object, usually made of ceramic, used to hold hot liquids.","A structure, usually made of iron, used to mark off-limits areas or maintain order."
26,Harmonious composition of sound waves produced byanalog or digital instruments,Abstract concept that divides human behaviours into good and bad,"Natural element that produces fruits or flower depending on the species, according ti the season","object for holding drinks, such as hot tea, useful for serving it more comfortably","Mental content, a representation or concept born from thought, imagination or experience"
27,Artistic discipline consisting of the rhythmic combination of sounds that can be defined as a composition. This is generally produced by artists using instruments and can be read and written graphically with notes on sheet music. It is divided into multiple genres and currents based on geographical origin and social context.,"Philosophical field that discusses the criteria determining whether a behavior is right or wrong. It is what regulates individuals' conduct and differs based on various domains, such as politics, religion, or social context. For example, abortion is the subject of constant debate between pro-life and pro-choice. ","a large-sized plant composed of a massive trunk, firmly anchored to the ground by underground branches called roots; Limbs extend from the upper part of the trunk, from which leaves grow. These enable the photosynthesis process. They can differ based on species, geographical area and climate. For example we have oak, cherry and pines. A group of them is generally called wood or forest. ","kitchen utensil used to heat beverages, particularly designed for preparing tea. It is a container with a variable shape and an opening at the top where the liquid, typically water, is poured; it has a handle to ensure a secure grip on one side and a tubular extension on the other side for pouring the beverage. ",A container generally made of plastic that contains drinkable liquids. It closes or opens with a screwable cap. It also has a label.